"ShortName","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"Wright, Nunn, Gafford, Avdija, Goodwin","WAS",3,7,-1,17,18,3,6,0.5,2,7,0.2857142857142857,0.2857142857142857,6,2,4,3,3,0.3333333333333333,0.5,0.5,0.5384615384615384,0.5366,0.46153846153846156,0.5294117647058824,2,0,0,0,0
"Kuzma, Morris, Gafford, Avdija, Kispert","WAS",3,7,1,14,14,5,7,0.7142857142857143,1,5,0.2,0.2,1,8,2,3,0,0.8,0.8,1,0.4166666666666667,0.5147416666666667,0.5416666666666666,0.5833333333333334,0,1,0.14285714285714285,0,0
"Wright, Gafford, Kispert, Davis, Jackson","WAS",2,7,-4,15,14,2,4,0.5,1,5,0.2,0.2,7,2,2,3,0,0.5,0.5,1,0.5555555555555556,0.4937944444444444,0.3888888888888889,0.5384615384615384,0,1,0.25,0,0
"Kuzma, Morris, Kispert, Gibson, Barton","WAS",2,7,-13,14,16,3,7,0.42857142857142855,2,5,0.4,0.4,4,4,2,3,3,0.6666666666666666,1,0.5,0.4166666666666667,0.47777916666666664,0.5,0.5714285714285714,2,1,0.14285714285714285,0,0
"Morris, Avdija, Beal, Barton, Porzingis","WAS",3,7,-5,12,13,5,7,0.7142857142857143,1,4,0.25,0.25,0,6,4,3,0,0.6,0.6,1,0.36363636363636365,0.5287045454545455,0.5909090909090909,0.5909090909090909,0,0,0,0,0
"Kuzma, Morris, Gibson, Beal, Porzingis","WAS",3,7,-3,11,16,3,4,0.75,3,8,0.375,0.42857142857142855,1,2,4,9,0,0.3333333333333333,0.5,1,0.6666666666666666,0.5425272727272727,0.625,0.6153846153846154,2,0,0,0,0
"Morris, Avdija, Gill, Kispert, Beal","WAS",2,7,-2,15,18,4,9,0.4444444444444444,2,7,0.2857142857142857,0.2857142857142857,4,0,8,6,0,0,0,1,0.4375,0.54050625,0.4375,0.47368421052631576,2,0,0,0,0
"Morris, Avdija, Kispert, Goodwin, Porzingis","WAS",4,7,0,14,17,5,6,0.8333333333333334,2,6,0.3333333333333333,0.3333333333333333,1,6,4,6,0,0.6,0.6,1,0.5,0.48354583333333334,0.6666666666666666,0.6538461538461539,0,0,0,0,0
"Wright, Gafford, Kispert, Goodwin, Davis","WAS",2,7,-6,14,12,3,8,0.375,1,7,0.14285714285714285,0.14285714285714285,3,0,6,3,0,0,0,1,0.4666666666666667,0.5077033333333333,0.3,0.35294117647058826,0,0,0,0,0
"Morris, Hachimura, Avdija, Barton, Porzingis","WAS",2,7,-15,15,13,2,7,0.2857142857142857,2,6,0.3333333333333333,0.3333333333333333,3,2,2,6,0,0.5,0.5,1,0.46153846153846156,0.5295038461538462,0.38461538461538464,0.43333333333333335,0,2,0.2857142857142857,0,0
"Wright, Kuzma, Nunn, Avdija, Porzingis","WAS",4,7,4,15,18,4,9,0.4444444444444444,2,6,0.3333333333333333,0.3333333333333333,4,4,4,6,0,0.5,0.5,1,0.4,0.5124,0.4666666666666667,0.5,0,0,0,0,0
"Kuzma, Morris, Hachimura, Avdija, Kispert","WAS",1,7,1,15,20,4,7,0.5714285714285714,3,6,0.5,0.5,3,8,0,9,0,1,1,1,0.46153846153846156,0.48886153846153846,0.6538461538461539,0.7142857142857143,0,0,0,0,0
"Wright, Morris, Kispert, Beal, Porzingis","WAS",3,7,4,13,17,4,7,0.5714285714285714,3,6,0.5,0.5,0,4,4,9,0,0.5,0.5,1,0.46153846153846156,0.5190384615384616,0.6538461538461539,0.6538461538461539,0,0,0,0,0
"Wright, Gafford, Gill, Kispert, Goodwin","WAS",2,7,9,13,26,6,8,0.75,3,3,1,1,5,6,6,9,0,0.5,0.5,1,0.2727272727272727,0.5192681818181818,0.9545454545454546,1,0,2,0.25,0,0
"Wright, Kuzma, Morris, Kispert, Porzingis","WAS",1,7,-10,15,12,2,6,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333,5,4,0,0,3,1,1,0,0.3333333333333333,0.51375,0.3888888888888889,0.5,0,1,0.16666666666666666,0,0
"Kuzma, Gafford, Avdija, Goodwin, Beal","WAS",4,7,-2,13,12,4,7,0.5714285714285714,0,4,0,0,4,4,4,0,0,0.5,0.6666666666666666,0,0.36363636363636365,0.5446090909090909,0.36363636363636365,0.4,2,1,0.14285714285714285,0,0
"Wright, Gafford, Avdija, Kispert, Goodwin","WAS",1,6,-2,13,15,4,4,1,2,7,0.2857142857142857,0.2857142857142857,1,0,8,6,0,0,0,1,0.6363636363636364,0.4966863636363636,0.6363636363636364,0.625,0,0,0,0,0
"Gill, Goodwin, Davis, Gibson, Barton","WAS",1,6,2,12,6,2,11,0.18181818181818182,0,2,0,0,2,0,4,0,0,0,0,0,0.15384615384615385,0.43667307692307694,0.15384615384615385,0.1875,2,1,0.09090909090909091,0,0
