Player,Team,Season,PPG,REB,AST,STL
AJ Griffin,ATL,2022-23,8.9,2.1,1.0,0.6
AJ Griffin,ATL,2023-24,2.4,0.9,0.3,0.1
Aaron Holiday,ATL,2022-23,3.9,1.2,1.4,0.6
Bogdan Bogdanović,ATL,2022-23,14.0,3.1,2.8,0.8
Bogdan Bogdanović,ATL,2023-24,16.9,3.4,3.1,1.2
Bogdan Bogdanović,ATL,2024-25,10.0,2.8,2.0,0.8
Bruno Fernando,ATL,2022-23,3.4,1.9,0.1,0.0
Bruno Fernando,ATL,2023-24,6.3,4.3,1.0,0.6
Caris LeVert,ATL,2024-25,14.9,3.7,2.9,0.9
Clint Capela,ATL,2022-23,12.0,11.0,0.9,0.7
Clint Capela,ATL,2023-24,11.5,10.6,1.2,0.6
Clint Capela,ATL,2024-25,8.9,8.5,1.1,0.6
Daeqwon Plowden,ATL,2024-25,7.2,1.8,0.3,0.0
David Roddy,ATL,2024-25,4.5,2.6,1.1,0.4
De'Andre Hunter,ATL,2022-23,15.4,4.2,1.4,0.5
De'Andre Hunter,ATL,2023-24,15.6,3.9,1.5,0.7
De'Andre Hunter,ATL,2024-25,19.0,3.9,1.5,0.8
Dejounte Murray,ATL,2022-23,20.5,5.3,6.1,1.5
Dejounte Murray,ATL,2023-24,22.5,5.3,6.4,1.4
Dominick Barlow,ATL,2024-25,4.2,2.4,0.5,0.3
Donovan Williams,ATL,2022-23,2.0,1.0,0.0,0.0
Dylan Windler,ATL,2023-24,4.7,2.0,0.5,0.3
Dyson Daniels,ATL,2024-25,14.1,5.9,4.4,3.0
Frank Kaminsky,ATL,2022-23,2.7,1.4,0.8,0.2
Garrison Mathews,ATL,2022-23,4.8,1.2,0.3,0.1
Garrison Mathews,ATL,2023-24,4.9,1.4,0.6,0.3
Garrison Mathews,ATL,2024-25,7.5,1.9,1.3,0.6
Georges Niang,ATL,2024-25,12.1,3.0,1.6,0.4
Jacob Toppin,ATL,2024-25,17.0,4.0,2.0,0.0
Jalen Johnson,ATL,2022-23,5.6,4.0,1.2,0.5
Jalen Johnson,ATL,2023-24,16.0,8.7,3.6,1.2
Jalen Johnson,ATL,2024-25,18.9,10.0,5.0,1.6
Jarrett Culver,ATL,2022-23,4.4,3.8,0.6,0.6
John Collins,ATL,2022-23,13.1,6.5,1.2,0.6
Justin Holiday,ATL,2022-23,4.5,0.8,0.9,0.2
Keaton Wallace,ATL,2024-25,5.4,1.6,2.6,0.9
Kobe Bufkin,ATL,2023-24,4.8,1.9,1.6,0.4
Kobe Bufkin,ATL,2024-25,5.3,2.1,1.7,0.3
Larry Nance Jr.,ATL,2024-25,8.5,4.3,1.6,0.8
Mouhamed Gueye,ATL,2023-24,4.0,3.7,0.7,0.8
Mouhamed Gueye,ATL,2024-25,6.0,4.2,0.8,0.8
Onyeka Okongwu,ATL,2022-23,9.9,7.2,1.0,0.7
Onyeka Okongwu,ATL,2023-24,10.2,6.8,1.3,0.5
Onyeka Okongwu,ATL,2024-25,13.4,8.9,2.3,0.9
Patty Mills,ATL,2023-24,2.7,1.1,0.7,0.5
Saddiq Bey,ATL,2022-23,11.6,4.8,1.4,0.8
Saddiq Bey,ATL,2023-24,13.7,6.5,1.5,0.8
Seth Lundy,ATL,2023-24,1.6,0.8,0.0,0.0
Team Totals,ATL,2022-23,118.4,44.4,25.0,7.1
Team Totals,ATL,2023-24,118.3,44.7,26.6,7.5
Team Totals,ATL,2024-25,118.2,44.5,29.6,9.7
Terance Mann,ATL,2024-25,9.8,3.1,2.1,0.6
Trae Young,ATL,2022-23,26.2,3.0,10.2,1.1
Trae Young,ATL,2023-24,25.7,2.8,10.8,1.3
Trae Young,ATL,2024-25,24.2,3.1,11.6,1.2
Trent Forrest,ATL,2022-23,2.3,1.6,1.7,0.3
Trent Forrest,ATL,2023-24,2.2,1.3,2.4,0.3
Tyrese Martin,ATL,2022-23,1.3,0.8,0.1,0.1
Vít Krejčí,ATL,2022-23,1.2,0.9,0.6,0.2
Vít Krejčí,ATL,2023-24,6.1,2.4,2.3,0.6
Vít Krejčí,ATL,2024-25,7.2,2.7,2.6,0.6
Wesley Matthews,ATL,2023-24,3.1,1.5,0.6,0.4
Zaccharie Risacher,ATL,2024-25,12.6,3.6,1.2,0.7
Al Horford,BOS,2022-23,9.8,6.2,3.0,0.5
Al Horford,BOS,2023-24,8.6,6.4,2.6,0.6
Al Horford,BOS,2024-25,9.0,6.2,2.1,0.6
Baylor Scheierman,BOS,2024-25,3.6,2.1,1.1,0.5
Blake Griffin,BOS,2022-23,4.1,3.8,1.5,0.3
Dalano Banton,BOS,2023-24,2.3,1.5,0.8,0.2
Derrick White,BOS,2022-23,12.4,3.6,3.9,0.7
Derrick White,BOS,2023-24,15.2,4.2,5.2,1.0
Derrick White,BOS,2024-25,16.4,4.5,4.8,0.9
Drew Peterson,BOS,2023-24,3.7,0.3,0.3,0.7
Drew Peterson,BOS,2024-25,2.2,1.6,0.5,0.2
Grant Williams,BOS,2022-23,8.1,4.6,1.7,0.5
JD Davison,BOS,2022-23,1.6,0.8,0.9,0.2
JD Davison,BOS,2023-24,2.0,1.3,1.3,0.1
JD Davison,BOS,2024-25,2.1,0.8,0.8,0.3
Jaden Springer,BOS,2023-24,2.1,1.2,0.5,0.6
Jaden Springer,BOS,2024-25,1.7,0.9,0.4,0.5
Jaylen Brown,BOS,2022-23,26.6,6.9,3.5,1.1
Jaylen Brown,BOS,2023-24,23.0,5.5,3.6,1.2
Jaylen Brown,BOS,2024-25,22.2,5.8,4.5,1.2
Jayson Tatum,BOS,2022-23,30.1,8.8,4.6,1.1
Jayson Tatum,BOS,2023-24,26.9,8.1,4.9,1.0
Jayson Tatum,BOS,2024-25,26.8,8.7,6.0,1.1
Jordan Walsh,BOS,2023-24,1.7,2.2,0.6,0.6
Jordan Walsh,BOS,2024-25,1.6,1.3,0.4,0.2
Jrue Holiday,BOS,2023-24,12.5,5.4,4.8,0.9
Jrue Holiday,BOS,2024-25,11.1,4.3,3.9,1.1
Justin Champagnie,BOS,2022-23,2.5,2.0,1.5,0.5
Justin Jackson,BOS,2022-23,0.9,0.7,0.4,0.2
Kristaps Porziņģis,BOS,2023-24,20.1,7.2,2.0,0.7
Kristaps Porziņģis,BOS,2024-25,19.5,6.8,2.1,0.7
Lamar Stevens,BOS,2023-24,2.8,1.6,0.4,0.3
Luke Kornet,BOS,2022-23,3.8,2.9,0.8,0.2
Luke Kornet,BOS,2023-24,5.3,4.1,1.1,0.4
Luke Kornet,BOS,2024-25,6.0,5.3,1.6,0.5
Malcolm Brogdon,BOS,2022-23,14.9,4.2,3.7,0.7
Marcus Smart,BOS,2022-23,11.5,3.1,6.3,1.5
Mfiondu Kabengele,BOS,2022-23,1.5,2.5,0.0,0.5
Mike Muscala,BOS,2022-23,5.9,3.4,0.6,0.2
Miles Norris,BOS,2024-25,2.3,3.0,0.0,0.7
Neemias Queta,BOS,2023-24,5.5,4.4,0.7,0.5
Neemias Queta,BOS,2024-25,5.0,3.8,0.7,0.3
Noah Vonleh,BOS,2022-23,1.1,2.1,0.3,0.1
Oshae Brissett,BOS,2023-24,3.7,2.9,0.8,0.3
Payton Pritchard,BOS,2022-23,5.6,1.8,1.3,0.3
Payton Pritchard,BOS,2023-24,9.6,3.2,3.4,0.5
Payton Pritchard,BOS,2024-25,14.3,3.8,3.5,0.9
Robert Williams,BOS,2022-23,8.0,8.3,1.4,0.6
Sam Hauser,BOS,2022-23,6.4,2.6,0.9,0.4
Sam Hauser,BOS,2023-24,9.0,3.5,1.0,0.5
Sam Hauser,BOS,2024-25,8.5,3.2,0.9,0.6
Svi Mykhailiuk,BOS,2023-24,4.0,1.2,0.9,0.3
Team Totals,BOS,2022-23,117.9,45.3,26.7,6.4
Team Totals,BOS,2023-24,120.6,46.3,26.9,6.8
Team Totals,BOS,2024-25,116.3,45.3,26.1,7.2
Torrey Craig,BOS,2024-25,2.7,2.8,0.7,0.4
Xavier Tillman Sr.,BOS,2023-24,4.0,2.7,1.0,0.5
Xavier Tillman Sr.,BOS,2024-25,1.0,1.3,0.2,0.3
Alondes Williams,BRK,2022-23,0.0,1.0,0.0,0.0
Armoni Brooks,BRK,2023-24,4.2,1.8,0.5,0.1
Ben Simmons,BRK,2022-23,6.9,6.3,6.1,1.3
Ben Simmons,BRK,2023-24,6.1,7.9,5.7,0.8
Ben Simmons,BRK,2024-25,6.2,5.2,6.9,0.8
Cam Thomas,BRK,2022-23,10.6,1.7,1.4,0.4
Cam Thomas,BRK,2023-24,22.5,3.2,2.9,0.7
Cam Thomas,BRK,2024-25,24.0,3.3,3.8,0.6
Cameron Johnson,BRK,2022-23,16.6,4.8,2.1,1.4
Cameron Johnson,BRK,2023-24,13.4,4.3,2.4,0.8
Cameron Johnson,BRK,2024-25,18.8,4.3,3.4,0.9
Cui Yongxi,BRK,2024-25,0.6,0.4,0.0,0.0
D'Angelo Russell,BRK,2024-25,12.9,2.8,5.6,1.1
Dariq Whitehead,BRK,2023-24,1.5,2.0,1.5,0.0
Dariq Whitehead,BRK,2024-25,5.7,1.5,0.6,0.3
David Duke Jr.,BRK,2022-23,3.7,1.3,0.9,0.4
Day'Ron Sharpe,BRK,2022-23,4.7,4.2,0.8,0.3
Day'Ron Sharpe,BRK,2023-24,6.8,6.4,1.4,0.4
Day'Ron Sharpe,BRK,2024-25,7.9,6.6,1.8,0.8
Dennis Schröder,BRK,2023-24,14.6,3.5,6.0,0.6
Dennis Schröder,BRK,2024-25,18.4,3.0,6.6,1.1
Dennis Smith Jr.,BRK,2023-24,6.6,2.9,3.6,1.2
Dorian Finney-Smith,BRK,2022-23,7.2,4.9,1.6,0.7
Dorian Finney-Smith,BRK,2023-24,8.5,4.7,1.6,0.8
Dorian Finney-Smith,BRK,2024-25,10.4,4.6,1.6,0.9
Drew Timme,BRK,2024-25,12.1,7.2,2.2,0.4
Dru Smith,BRK,2022-23,3.3,1.5,1.7,0.6
Edmond Sumner,BRK,2022-23,7.1,1.5,1.3,0.6
Harry Giles,BRK,2023-24,3.4,1.6,0.4,0.1
Jacob Gilyard,BRK,2023-24,0.0,0.8,1.5,1.5
Jalen Wilson,BRK,2023-24,5.0,3.0,1.0,0.3
Jalen Wilson,BRK,2024-25,9.5,3.4,1.8,0.5
Jaylen Martin,BRK,2024-25,1.0,0.0,0.0,0.0
Joe Harris,BRK,2022-23,7.6,2.2,1.4,0.5
Keita Bates-Diop,BRK,2023-24,1.6,0.6,0.3,0.2
Keon Johnson,BRK,2023-24,6.2,1.4,0.6,0.6
Keon Johnson,BRK,2024-25,10.6,3.8,2.2,1.0
Kessler Edwards,BRK,2022-23,1.1,1.0,0.1,0.2
Kevin Durant,BRK,2022-23,29.7,6.7,5.3,0.8
Killian Hayes,BRK,2024-25,9.0,3.0,5.2,0.7
Kyrie Irving,BRK,2022-23,27.1,5.1,5.3,1.0
Lonnie Walker IV,BRK,2023-24,9.7,2.2,1.3,0.6
Markieff Morris,BRK,2022-23,3.6,2.2,0.9,0.3
Maxwell Lewis,BRK,2024-25,5.3,2.5,0.8,0.4
Mikal Bridges,BRK,2022-23,26.1,4.5,2.7,1.0
Mikal Bridges,BRK,2023-24,19.6,4.5,3.6,1.0
Moses Brown,BRK,2022-23,0.0,0.0,0.0,0.5
Nerlens Noel,BRK,2022-23,1.0,3.0,1.0,1.0
Nic Claxton,BRK,2022-23,12.6,9.2,1.9,0.9
Nic Claxton,BRK,2023-24,11.8,9.9,2.1,0.6
Nic Claxton,BRK,2024-25,10.3,7.4,2.2,0.9
Noah Clowney,BRK,2023-24,5.8,3.5,0.8,0.3
Noah Clowney,BRK,2024-25,9.1,3.9,0.9,0.5
Patty Mills,BRK,2022-23,6.2,1.1,1.4,0.4
RaiQuan Gray,BRK,2022-23,16.0,9.0,7.0,0.0
Reece Beekman,BRK,2024-25,2.7,1.1,1.8,0.9
Royce O'Neale,BRK,2022-23,8.8,5.1,3.7,0.9
Royce O'Neale,BRK,2023-24,7.4,4.5,2.8,0.7
Seth Curry,BRK,2022-23,9.2,1.6,1.6,0.6
Shake Milton,BRK,2024-25,7.4,1.9,2.4,0.6
Spencer Dinwiddie,BRK,2022-23,16.5,4.1,9.1,1.1
Spencer Dinwiddie,BRK,2023-24,12.6,3.3,6.0,0.8
T.J. Warren,BRK,2022-23,9.5,2.8,1.1,0.6
Team Totals,BRK,2022-23,113.4,40.5,25.5,7.1
Team Totals,BRK,2023-24,110.4,44.1,25.6,6.8
Team Totals,BRK,2024-25,105.1,41.3,25.2,7.8
Tosan Evbuomwan,BRK,2024-25,9.5,4.3,2.0,0.9
Trendon Watford,BRK,2023-24,6.9,3.1,1.3,0.4
Trendon Watford,BRK,2024-25,10.2,3.6,2.6,0.6
Tyrese Martin,BRK,2024-25,8.7,3.7,2.0,0.6
Tyson Etienne,BRK,2024-25,7.9,1.3,1.7,0.4
Yuta Watanabe,BRK,2022-23,5.6,2.4,0.8,0.4
Ziaire Williams,BRK,2024-25,10.0,4.6,1.3,1.0
Adama Sanogo,CHI,2023-24,4.0,4.0,0.0,0.1
Adama Sanogo,CHI,2024-25,2.0,1.5,0.3,0.0
Alex Caruso,CHI,2022-23,5.6,2.9,2.9,1.5
Alex Caruso,CHI,2023-24,10.1,3.8,3.5,1.7
Andre Drummond,CHI,2022-23,6.0,6.6,0.5,0.7
Andre Drummond,CHI,2023-24,8.4,9.0,0.5,0.9
Andrew Funk,CHI,2023-24,0.0,0.0,0.0,0.2
Ayo Dosunmu,CHI,2022-23,8.6,2.8,2.6,0.8
Ayo Dosunmu,CHI,2023-24,12.2,2.8,3.2,0.9
Ayo Dosunmu,CHI,2024-25,12.3,3.5,4.5,0.9
Carlik Jones,CHI,2022-23,2.9,0.7,0.9,0.3
Chris Duarte,CHI,2024-25,2.1,1.2,0.5,0.0
Coby White,CHI,2022-23,9.7,2.9,2.8,0.7
Coby White,CHI,2023-24,19.1,4.5,5.1,0.7
Coby White,CHI,2024-25,20.4,3.7,4.5,0.9
Dalen Terry,CHI,2022-23,2.2,1.0,0.6,0.3
Dalen Terry,CHI,2023-24,3.1,1.9,1.4,0.5
Dalen Terry,CHI,2024-25,4.5,1.7,1.3,0.6
DeMar DeRozan,CHI,2022-23,24.5,4.6,5.1,1.1
DeMar DeRozan,CHI,2023-24,24.0,4.3,5.3,1.1
Derrick Jones Jr.,CHI,2022-23,5.0,2.4,0.5,0.5
E.J. Liddell,CHI,2024-25,1.8,0.8,0.3,0.1
Emanuel Miller,CHI,2024-25,1.7,1.3,0.3,0.2
Goran Dragić,CHI,2022-23,6.4,1.4,2.7,0.2
Henri Drell,CHI,2023-24,2.8,1.0,1.0,0.5
Jahmir Young,CHI,2024-25,1.8,0.5,1.0,0.0
Jalen Smith,CHI,2024-25,8.2,5.6,1.0,0.3
Javonte Green,CHI,2022-23,5.2,2.8,0.7,0.8
Javonte Green,CHI,2023-24,12.2,7.4,0.6,1.1
Jevon Carter,CHI,2023-24,5.0,0.8,1.3,0.5
Jevon Carter,CHI,2024-25,4.3,1.1,1.1,0.4
Josh Giddey,CHI,2024-25,14.6,8.1,7.2,1.2
Julian Phillips,CHI,2023-24,2.2,0.9,0.3,0.2
Julian Phillips,CHI,2024-25,4.6,2.1,0.5,0.5
Kevin Huerter,CHI,2024-25,13.2,3.3,3.2,1.2
Lonzo Ball,CHI,2024-25,7.6,3.4,3.3,1.3
Malcolm Hill,CHI,2022-23,1.0,0.6,0.0,0.0
Marko Simonovic,CHI,2022-23,0.9,0.3,0.0,0.0
Matas Buzelis,CHI,2024-25,8.6,3.5,1.0,0.4
Nikola Vučević,CHI,2022-23,17.6,11.0,3.2,0.7
Nikola Vučević,CHI,2023-24,18.0,10.5,3.3,0.7
Nikola Vučević,CHI,2024-25,18.5,10.1,3.5,0.8
Onuralp Bitim,CHI,2023-24,3.5,1.4,0.6,0.1
Patrick Beverley,CHI,2022-23,5.8,4.9,3.5,1.0
Patrick Williams,CHI,2022-23,10.2,4.0,1.2,0.9
Patrick Williams,CHI,2023-24,10.0,3.9,1.5,0.9
Patrick Williams,CHI,2024-25,9.0,3.8,2.0,0.8
Talen Horton-Tucker,CHI,2024-25,6.5,1.7,1.4,0.4
Team Totals,CHI,2022-23,113.1,42.4,24.5,7.9
Team Totals,CHI,2023-24,112.3,43.8,25.0,7.8
Team Totals,CHI,2024-25,117.8,45.9,29.1,7.6
Terry Taylor,CHI,2022-23,4.0,1.6,0.0,0.0
Terry Taylor,CHI,2023-24,1.5,1.2,0.3,0.2
Tony Bradley,CHI,2022-23,1.6,0.9,0.1,0.1
Torrey Craig,CHI,2023-24,5.7,4.1,1.1,0.6
Torrey Craig,CHI,2024-25,6.9,2.8,0.6,0.2
Tre Jones,CHI,2024-25,11.5,3.2,4.9,1.1
Zach Collins,CHI,2024-25,8.6,6.7,2.1,0.5
Zach LaVine,CHI,2022-23,24.8,4.5,4.2,0.9
Zach LaVine,CHI,2023-24,19.5,5.2,3.9,0.8
Zach LaVine,CHI,2024-25,24.0,4.8,4.5,0.9
Aleksej Pokusevski,CHO,2023-24,7.4,4.4,1.7,0.8
Amari Bailey,CHO,2023-24,2.3,0.9,0.7,0.3
Brandon Miller,CHO,2023-24,17.3,4.3,2.4,0.9
Brandon Miller,CHO,2024-25,21.0,4.9,3.6,1.1
Bryce McGowens,CHO,2022-23,5.3,2.0,1.2,0.3
Bryce McGowens,CHO,2023-24,5.1,1.7,0.9,0.4
Cody Martin,CHO,2022-23,5.0,3.4,1.6,0.6
Cody Martin,CHO,2023-24,7.5,3.9,3.7,1.1
Cody Martin,CHO,2024-25,7.8,4.5,2.3,1.1
DaQuan Jeffries,CHO,2024-25,6.7,2.9,1.1,0.6
Damion Baugh,CHO,2024-25,7.3,3.3,3.7,1.0
Dennis Smith Jr.,CHO,2022-23,8.8,3.1,4.8,1.4
Dāvis Bertāns,CHO,2023-24,8.8,1.8,0.9,0.8
Elfrid Payton,CHO,2024-25,1.0,2.2,3.3,1.0
Frank Ntilikina,CHO,2023-24,1.0,1.2,0.8,0.0
Gordon Hayward,CHO,2022-23,14.7,4.3,4.1,0.8
Gordon Hayward,CHO,2023-24,14.5,4.7,4.6,1.1
Grant Williams,CHO,2023-24,13.9,5.1,3.2,0.7
Grant Williams,CHO,2024-25,10.4,5.1,2.3,1.1
Isaiah Wong,CHO,2024-25,6.0,1.6,1.4,0.6
Ish Smith,CHO,2023-24,3.2,1.8,3.4,0.4
JT Thor,CHO,2022-23,3.8,2.2,0.5,0.3
JT Thor,CHO,2023-24,3.2,2.3,0.5,0.2
Jalen McDaniels,CHO,2022-23,10.6,4.8,2.0,1.2
James Bouknight,CHO,2022-23,5.6,2.1,1.2,0.4
James Bouknight,CHO,2023-24,3.6,0.6,0.4,0.1
Jared Rhoden,CHO,2024-25,1.0,1.0,0.5,0.3
Jaylen Sims,CHO,2024-25,7.0,1.0,2.0,0.5
Josh Green,CHO,2024-25,7.4,2.5,1.6,1.1
Josh Okogie,CHO,2024-25,8.9,2.7,1.3,1.8
Jusuf Nurkić,CHO,2024-25,9.2,6.5,2.6,0.7
KJ Simpson,CHO,2024-25,7.8,3.0,3.1,0.9
Kai Jones,CHO,2022-23,3.4,2.7,0.3,0.4
Kelly Oubre Jr.,CHO,2022-23,20.3,5.2,1.1,1.4
Kobi Simmons,CHO,2022-23,1.0,0.8,1.0,0.0
LaMelo Ball,CHO,2022-23,23.3,6.4,8.4,1.3
LaMelo Ball,CHO,2023-24,23.9,5.1,8.0,1.8
LaMelo Ball,CHO,2024-25,25.2,4.9,7.4,1.1
Leaky Black,CHO,2023-24,2.7,1.8,0.9,0.3
Malachi Flynn,CHO,2024-25,4.0,1.8,1.8,0.8
Marcus Garrett,CHO,2024-25,7.0,1.5,3.3,0.8
Mark Williams,CHO,2022-23,9.0,7.1,0.4,0.7
Mark Williams,CHO,2023-24,12.7,9.7,1.2,0.8
Mark Williams,CHO,2024-25,15.3,10.2,2.5,0.7
Marques Bolden,CHO,2023-24,4.1,3.6,0.4,0.3
Mason Plumlee,CHO,2022-23,12.2,9.7,3.7,0.6
Miles Bridges,CHO,2023-24,21.0,7.3,3.3,0.9
Miles Bridges,CHO,2024-25,20.3,7.5,3.9,0.7
Moussa Diabaté,CHO,2024-25,5.7,6.2,0.8,0.6
Nathan Mensah,CHO,2023-24,1.3,2.6,0.4,0.2
Nick Richards,CHO,2022-23,8.2,6.4,0.6,0.2
Nick Richards,CHO,2023-24,9.7,8.0,0.8,0.4
Nick Richards,CHO,2024-25,8.9,7.5,1.3,0.3
Nick Smith Jr.,CHO,2023-24,5.9,1.4,1.2,0.2
Nick Smith Jr.,CHO,2024-25,9.9,2.1,2.4,0.3
P.J. Washington,CHO,2022-23,15.7,4.9,2.4,0.9
P.J. Washington,CHO,2023-24,13.6,5.3,2.2,0.9
Seth Curry,CHO,2023-24,9.0,2.0,1.8,0.6
Seth Curry,CHO,2024-25,6.5,1.7,0.9,0.4
Svi Mykhailiuk,CHO,2022-23,10.6,2.4,2.7,0.7
Taj Gibson,CHO,2024-25,2.9,3.2,0.6,0.2
Team Totals,CHO,2022-23,111.0,44.5,25.1,7.7
Team Totals,CHO,2023-24,106.6,40.3,24.8,6.9
Team Totals,CHO,2024-25,105.1,45.2,24.3,7.4
Terry Rozier,CHO,2022-23,21.1,4.1,5.1,1.2
Terry Rozier,CHO,2023-24,23.2,3.9,6.6,1.1
Théo Maledon,CHO,2022-23,6.7,2.8,3.5,0.8
Théo Maledon,CHO,2023-24,4.2,1.8,2.2,0.5
Tidjane Salaün,CHO,2024-25,5.9,4.7,1.2,0.5
Tre Mann,CHO,2023-24,11.9,4.5,5.2,1.7
Tre Mann,CHO,2024-25,14.1,2.9,3.0,0.5
Vasilije Micić,CHO,2023-24,10.8,2.1,6.2,0.7
Vasilije Micić,CHO,2024-25,7.5,2.4,3.5,0.4
Wendell Moore Jr.,CHO,2024-25,5.4,3.2,1.2,0.6
Xavier Sneed,CHO,2022-23,4.3,1.3,1.3,0.0
Caris LeVert,CLE,2022-23,12.1,3.8,3.9,1.0
Caris LeVert,CLE,2023-24,14.0,4.1,5.1,1.1
Caris LeVert,CLE,2024-25,10.2,2.8,3.7,0.9
Cedi Osman,CLE,2022-23,8.7,2.3,1.5,0.5
Chuma Okeke,CLE,2024-25,2.5,2.0,1.0,0.0
Craig Porter Jr.,CLE,2023-24,5.6,2.1,2.3,0.4
Craig Porter Jr.,CLE,2024-25,3.7,1.3,1.4,0.3
Damian Jones,CLE,2023-24,2.7,1.6,0.4,0.2
Danny Green,CLE,2022-23,6.5,1.3,0.5,0.6
Darius Garland,CLE,2022-23,21.6,2.7,7.8,1.2
Darius Garland,CLE,2023-24,18.0,2.7,6.5,1.3
Darius Garland,CLE,2024-25,20.6,2.9,6.7,1.2
De'Andre Hunter,CLE,2024-25,14.3,4.2,1.3,0.7
Dean Wade,CLE,2022-23,4.7,3.4,0.8,0.6
Dean Wade,CLE,2023-24,5.4,4.0,0.8,0.7
Dean Wade,CLE,2024-25,5.4,4.2,1.3,0.7
Donovan Mitchell,CLE,2022-23,28.3,4.3,4.4,1.5
Donovan Mitchell,CLE,2023-24,26.6,5.1,6.1,1.8
Donovan Mitchell,CLE,2024-25,24.0,4.5,5.0,1.3
Dylan Windler,CLE,2022-23,1.7,0.0,0.3,0.3
Emoni Bates,CLE,2023-24,2.7,0.9,0.7,0.1
Emoni Bates,CLE,2024-25,3.7,0.7,0.8,0.1
Evan Mobley,CLE,2022-23,16.2,9.0,2.8,0.8
Evan Mobley,CLE,2023-24,15.7,9.4,3.2,0.9
Evan Mobley,CLE,2024-25,18.5,9.3,3.2,0.9
Georges Niang,CLE,2023-24,9.4,3.4,1.2,0.4
Georges Niang,CLE,2024-25,8.7,3.7,1.3,0.3
Isaac Okoro,CLE,2022-23,6.4,2.5,1.1,0.7
Isaac Okoro,CLE,2023-24,9.4,3.0,1.9,0.8
Isaac Okoro,CLE,2024-25,6.1,2.4,1.2,0.6
Isaiah Mobley,CLE,2022-23,2.6,1.7,0.3,0.3
Isaiah Mobley,CLE,2023-24,2.3,1.0,0.6,0.2
JT Thor,CLE,2024-25,3.1,0.7,0.1,0.2
Jarrett Allen,CLE,2022-23,14.3,9.8,1.7,0.8
Jarrett Allen,CLE,2023-24,16.5,10.5,2.7,0.7
Jarrett Allen,CLE,2024-25,13.5,9.7,1.9,0.9
Javonte Green,CLE,2024-25,3.3,2.2,0.6,0.6
Jaylon Tyson,CLE,2024-25,3.6,2.0,0.9,0.3
Kevin Love,CLE,2022-23,8.5,6.8,1.9,0.2
Lamar Stevens,CLE,2022-23,5.3,3.3,0.5,0.4
Luke Travers,CLE,2024-25,1.0,1.7,0.7,0.1
Mamadi Diakite,CLE,2022-23,2.6,1.4,0.4,0.2
Marcus Morris,CLE,2023-24,5.8,2.1,0.8,0.2
Max Strus,CLE,2023-24,12.2,4.8,4.0,0.9
Max Strus,CLE,2024-25,9.4,4.3,3.2,0.5
Nae'Qwan Tomlin,CLE,2024-25,7.2,4.2,0.4,0.0
Pete Nance,CLE,2023-24,0.4,0.4,0.0,0.1
Raul Neto,CLE,2022-23,3.3,1.0,1.6,0.4
Ricky Rubio,CLE,2022-23,5.2,2.1,3.5,0.8
Robin Lopez,CLE,2022-23,3.0,1.4,0.5,0.1
Sam Merrill,CLE,2022-23,5.0,1.8,1.0,0.8
Sam Merrill,CLE,2023-24,8.0,2.0,1.8,0.3
Sam Merrill,CLE,2024-25,7.2,2.2,1.5,0.7
Team Totals,CLE,2022-23,112.3,41.1,24.9,7.1
Team Totals,CLE,2023-24,112.6,43.3,28.0,7.4
Team Totals,CLE,2024-25,121.9,45.4,28.1,8.2
Tristan Thompson,CLE,2023-24,3.3,3.6,1.0,0.2
Tristan Thompson,CLE,2024-25,1.7,3.4,0.6,0.1
Ty Jerome,CLE,2023-24,2.0,0.5,1.5,0.0
Ty Jerome,CLE,2024-25,12.5,2.5,3.4,1.1
A.J. Lawson,DAL,2022-23,3.9,1.4,0.1,0.1
A.J. Lawson,DAL,2023-24,3.2,1.2,0.5,0.2
Alex Fudge,DAL,2023-24,5.5,1.5,0.0,1.5
Anthony Davis,DAL,2024-25,20.0,10.1,4.4,0.6
Brandon Williams,DAL,2023-24,3.2,0.8,1.0,0.1
Brandon Williams,DAL,2024-25,8.3,1.8,2.3,0.7
Caleb Martin,DAL,2024-25,5.4,2.9,1.9,0.9
Chris Silva,DAL,2022-23,2.0,0.0,0.0,0.0
Christian Wood,DAL,2022-23,16.6,7.3,1.8,0.4
Daniel Gafford,DAL,2023-24,11.2,6.9,1.6,0.7
Daniel Gafford,DAL,2024-25,12.3,6.8,1.4,0.4
Danté Exum,DAL,2023-24,7.8,2.7,2.9,0.4
Danté Exum,DAL,2024-25,8.7,1.7,2.8,0.6
Dereck Lively II,DAL,2023-24,8.8,6.9,1.1,0.7
Dereck Lively II,DAL,2024-25,8.7,7.5,2.4,0.6
Derrick Jones Jr.,DAL,2023-24,8.6,3.3,1.0,0.7
Dexter Dennis,DAL,2023-24,5.5,2.3,1.0,0.0
Dorian Finney-Smith,DAL,2022-23,9.1,4.7,1.5,1.0
Dwight Powell,DAL,2022-23,6.7,4.1,0.9,0.6
Dwight Powell,DAL,2023-24,3.3,3.4,1.3,0.4
Dwight Powell,DAL,2024-25,2.1,2.1,1.0,0.3
Dāvis Bertāns,DAL,2022-23,4.6,1.2,0.5,0.2
Facundo Campazzo,DAL,2022-23,1.3,0.3,1.1,0.8
Frank Ntilikina,DAL,2022-23,2.9,1.3,1.2,0.3
Grant Williams,DAL,2023-24,8.1,3.6,1.7,0.5
Greg Brown III,DAL,2023-24,2.5,1.5,0.7,0.0
JaVale McGee,DAL,2022-23,4.4,2.5,0.3,0.1
